keyword,frequency,category
萎縮気味,4,4
low-iso,4,7
PTCDtube,4,7
早期灌流,4,7
Cavernous_transformation,4,7
のまだら濃染,4,7
肝内石灰化病変,4,5
実質濃度は低く,4,1
血管腫病変,4,3
肝内胆肝拡張,4,2
high_pattern,4,7
内部densityは低下,4,1
造影効果はやや不均一,4,7
それぞれ胆管ステント,4,7
濃染する病変,4,7
圧迫変形,4,4
泣き別れ状拡張,4,7
は不均一低吸収,4,7
シャント（PV_shunt,4,7
ring状,4,3
高蛋白成分,3,7
出血成分,3,7
肝実質萎縮後,3,4
後期相低吸収域,3,7
粗大石灰化,3,5
結節所見,3,3
早期濃染部分,3,7
肝実質濃度は低下,3,7
乏血性の病変,3,7
リピオド-ル沈着,3,7
造影ムラぞまり,3,7
胆道気腫症,3,6
造影不良腫瘤,3,3
hemangioma,3,3
肝ドーム下病変,3,7
肝内小石灰化,3,5
少し萎縮,3,4
軟部病変,3,7
線状高吸収体,3,7
脂肪肝所見,3,1
結節状領域,3,3
低吸収~濃染,3,7
染まる低濃度結節,3,3
小嚢胞状のSOL,3,0
結節像,3,3
腫瘤様病変,3,3
左肝内胆管拡張,3,2
結節状な早期濃染域,3,3
pneumobila,3,6
結節状の構造,3,3
造影増強効果のパターン,3,7
Pnuemobilia,3,6
被膜下液貯留,3,7
腫腫性壁肥厚,3,3
被膜構造,3,7
短絡路,3,7
washoutする結節,3,3
突出状構造,3,7
索状変化,3,7
造影効果の弱い部分,3,7
遠肝性の側副路,3,7
隔壁形成,3,7
低吸収な腫瘍,3,3
脂肪肝の悪化,3,1
リング状早期濃染,3,3
壁肥厚病変,3,7
遠肝性の側副路増生,3,7
focal_fat_deposit,3,1
求肝性側副路発達,3,7
NBCAが貯留,3,7
肝実質早期造影増強,3,7
点状高吸収,3,7
陥凹（scalloping,3,4
微小石灰化陰影,3,5
結節様陰影,3,3
濃染ムラ,3,7
肝萎縮部分,3,4
遅延期淡染領域,3,7
低吸収値域,3,7
肝内門脈破格,3,7
早期濃染効果,3,7
管状構造,3,7
造影不均一領域,3,7
脈管拡張,3,7
肝periportal_collar,3,7
肝嚢胞傍十二指腸乳頭憩室腎嚢胞,3,0
門脈周囲浮腫,3,7
Apshunt,3,7
肝ヘモジデローシス,3,7
内部低吸収,3,7
脂肪含有結節,3,3
門脈血流の低下,3,7
肝脾萎縮,3,4
濃度も不均一化,3,7
fatty,3,1
Lip-NBCAキャスト,3,7
wedge状早期濃染域,3,7
腫瘤状高吸収構造,3,3
濃度が不均一,3,7
乏血性の低吸収域,3,7
早期濃染のある領域,3,7
点状石灰化,3,5
うすい被膜,3,7
cavernous_formation,3,7
腫瘤状造影不良域,3,3
pseudo_lipoma,3,3
標的病変,3,7
血管腫orA-P_shunt,3,3
肝周囲索状影,3,7
小石灰化結節,3,5
肝低濃度腫瘤,3,3
結節状の早期濃染域複数,3,3
グリソン域の低濃度変化,3,7
肝実質早期造影,3,7
fill_in_pattern,3,3
肝脾腫大,3,4
高濃度病変,3,7
吸収値は不均一,3,7
微細低吸収域,3,7
吸収値は低下,3,7
乏血結節,3,3
肝嚢,3,0
高吸収の成分,3,7
濃染パターン,3,7
増強効果は不均一に低下,3,7
造影増強結節,3,3
肝濃度の不均一,3,7
嚢胞肝,3,0
側副血行路,3,7
小さな低濃度,3,7
線状低吸収域,3,7
リピオドールの沈着領域,3,7
まだら早期濃染,3,7
肝SOLs,2,3
線状の造影効果,2,7
血管腫）,2,3
高吸収陰影,2,7
軟部濃度がら,2,7
肝内pneumobilia,2,6
グラフト肝周囲液体貯留,2,7
air貯留,2,6
造影効果にムラ,2,7
pnumobillia,2,6
periportal_coller_sign,2,7
嚢胞２つ,2,0
低濃度（periportal_collar）,2,7
Lipodol集積,2,7
液状物,2,7
のdensityが低下,2,1
肝pneumobilia,2,6
索状に低吸収域,2,7
肝管ステント,2,7
肝内胆管拡張軽度,2,2
造影効果の変化,2,7
腫瘤様構造,2,3
air-fluid_level,2,7
shuntらしき早期,2,7
被包液体貯留,2,7
脂肪沈着域,2,1
濃度変化,2,7
嚢胞性陰影,2,0
腫瘤状の病変,2,3
輝度上昇,2,7
nodule,2,3
リング状構造,2,3
腫瘤状の構造,2,3
実質濃度の低下,2,7
肝門部結節,2,3
生体部分肝移植,2,7
吸収低下,2,7
carvenous_transformation,2,7
腫瘍内部,2,3
低脂肪化巣,2,1
金属density,2,7
肝内門脈閉塞,2,7
造影剤残存,2,7
artifact,2,7
densityは低下,2,7
実質濃度は低下,2,7
内部濃度,2,7
結節状の硬化像,2,3
脂肪肝化,2,1
効果の悪い領域,2,7
結節状病変,2,3
central_scar様の構造,2,7
凹凸変形,2,4
肝PVシャント,2,7
線状の高濃度,2,7
lipiodol残存,2,7
肝内血管腫,2,3
石灰化嚢胞,2,5
high-iso_lesions,2,7
vascular_nodule,2,3
小cysts,2,0
高吸収な部分,2,7
内部吸収値の上昇,2,7
結節状低吸収域,2,3
血肝管腫,2,3
結節不変,2,3
lipiodol_retention,2,7
造影効果の低下および亢進,2,7
点状構造,2,7
コントラストが上昇,2,7
肝吸収値低下,2,7
軟部組織吸収域,2,7
肝後区域嚢胞,2,0
ring_enchancement,2,3
LC変化,2,4
肝嚢胞肝,2,0
PV_shuntい,2,6
肝実質濃度の低下,2,1
小結節状の描出,2,3
残肝腫大,2,4
造影後低濃度域,2,7
液体貯留域,2,7
造影やや不良,2,7
造影効果の不均一,2,7
外側区腫大,2,4
いわゆるperiportal_colar,2,7
リング状増強効果,2,3
嚢胞様腫瘤,2,0
結節状部分,2,3
肝内低吸収病変,2,7
小濃度結節,2,3
periportal_collarの拡大,2,7
肝グリソン鞘浮腫,2,7
実質濃染,2,7
辺縁低吸収,2,7
左右肝管壁肥厚,2,7
造影効果の低下,2,7
PCTD_tube,2,7
軟部濃度の領域,2,7
リピオドール沈着領域,2,7
脂肪肝様,2,1
横隔膜下低吸収域,2,7
lipiodolの分布,2,7
吸収値の不均一,2,7
Epitheloid_hemangioendothelioma,2,3
総肝管拡張,2,2
肝脂肪性結節,2,3
脂肪濃度）結節,2,3
脂肪肝の急激な進行,2,1
微少嚢胞,2,0
液面形成,2,7
高吸収腫瘤,2,3
腫瘤陰影,2,3
腎~肝腫瘤,2,3
線状高吸収域,2,7
肝表面不整,2,4
造影効果は不均一でした,2,7
肝外側区嚢胞,2,0
空洞性病変,2,7
早期濃染する低吸収域,2,7
肝円索上,2,7
造影効果不良の結節,2,3
periportal_collar_edema,2,7
肝微小嚢胞,2,0
LDA領域,2,7
肝表凹凸,1,4
結節状の陰影,1,3
fill-inパターン,1,3
胆管チューブ,1,7
ピッグテールドレーン,1,7
索状濃染像,1,7
脂肪肝つよい,1,1
実質濃度は不均一に低下,1,7
吸収値が高くヘモジデローシス,1,7
門脈侵襲,1,7
肝内コントラスト不良肝嚢胞,1,0
肝PV_shunt,1,7
小結節病変,1,3
小低吸収,1,7
吸収値は不均一に低下,1,1
造影増強効果は不均一,1,7
脂肪肝の進行,1,1
肝石灰化嚢胞,1,5
陰影欠損,1,7
肝吸収値上昇,1,7
高吸収なcomplicated_cyst,1,0
索状、抜去影,1,7
ひとまわり増大,1,7
肝造影効果は不均一,1,7
SOL様,1,3
Lipiodol集積の欠損,1,7
液体濃度腫瘤,1,3
被膜様の低吸収域,1,7
造影剤の遺残,1,7
瘢痕化,1,7
ごく小さな嚢胞,1,0
小さなcyst,1,0
多血結節,1,3
遠肝性の側副血行路発達,1,7
嚢胞様病変,1,0
complication_cyst,1,0
軟部陰影増生,1,7
低吸収混在域,1,7
fat_lesion,1,1
肝実質早期増強効果亢進,1,7
瘤様拡張,1,7
stentのcollapse,1,7
造影後不明瞭,1,7
効果の不均一性,1,7
肝辺縁の鈍化,1,4
早期増強効果は不均一,1,7
lipiodolが貯留,1,7
VP_shunt,1,7
早期相濃染域,1,7
占拠物,1,7
引き続き早期濃染,1,7
肝実質内石灰化,1,5
コントラスト差,1,7
グラフトの肝内胆管拡張,1,2
線状のair,1,7
造影効果低下域,1,7
血管腫様病変,1,3
肝内変形,1,4
肝A-P_shunt,1,7
結節状増強,1,3
濃度はまだらに低下,1,1
ring状増強効果,1,3
低吸収の領域,1,7
線状に染まる領域,1,7
肝辺縁不整,1,4
陥凹変形,1,4
結節陰影,1,3
瘢痕ないし嚢胞,1,0
チューブのたわみ,1,7
濃度が上昇,1,7
遠肝性の側副路発達,1,7
腫瘍部分,1,3
低吸収軟部影,1,7
肝石灰化巣,1,5
肝実質高吸収,1,7
層状血腫,1,7
RTBD_tube,1,7
嚢胞状の構造,1,0
引き続き肝内胆管拡張,1,2
高濃度液貯留,1,7
微小嚢胞性病変,1,0
線状のガス,1,6
lipiodolの沈着,1,7
石灰化陰影,1,5
圧排する腫瘤,1,3
嚢胞領域,1,0
造影効果は不均一に低下,1,7
門脈gas像,1,6
壊死領域,1,7
吸収値の上昇,1,7
変性の混合像,1,7
peumobilia,1,6
結節状軟部影,1,3
delayed_enhancement）,1,7
微小低濃度域,1,7
Lipiodol分布,1,7
楔状低吸収,1,7
線状のmetal_density,1,7
厚い嚢胞,1,0
新出肝腫瘤,1,3
metal_denity,1,7
微小嚢胞複数,1,0
高濃度と低濃度,1,7
造影濃染域,1,7
結節状の低吸収,1,3
肝低吸収腫瘤,1,3
造影効果のムラ,1,7
内部不均一,1,7
VPシャントチューブ,1,7
吸収値は上昇,1,7
微小結節状,1,3
内部濃度が上昇,1,7
嚢胞不変,1,0
肝石灰化濃度域,1,5
小早期濃染結節,1,3
脂肪肝±うっ血,1,1
結節状軟部濃度域,1,3
早期濃染の顕在化,1,7
肝実質濃度上昇,1,7
低吸収域外,1,7
結節状の早期増強効果,1,3
グラフト肝がまだらな低濃度,1,7
思しき索状影,1,7
腫瘍濃染,1,3
mass_lesion,1,3
periportal_collar）,1,7
complicated_cysts,1,0
高吸収嚢胞,1,0
微細嚢胞,1,0
リング状陰影,1,3
脂肪肝肝嚢胞,1,1
石灰化巣,1,5
肝低濃度域,1,7
濃度はやや低下,1,7
結節状腫瘤,1,3
中肝内胆管拡張,1,2
リピオドール集積低下,1,7
っとperiportal_collar,1,7
小結節状変化,1,3
造影効果減弱域,1,7
peripotal_collar,1,7
造影増強効果が低下,1,6
ring_enhacement,1,3
病変進展,1,7
肝内胆石,1,5
それぞれ低濃度結節,1,3
肝内肝外胆管拡張,1,2
小さい低濃度域,1,7
脂肪肝左卵巣嚢胞,1,1
瘢痕様構造,1,7
造影濃度むら,1,7
periportal_collar所見,1,7
索状の低吸収,1,7
造影効果不良結節,1,3
高濃度領域,1,7
腫瘤状の低濃度域,1,3
高吸収成分,1,7
